DOI,Fig1,Date Published,Author,Cell Type,Salt Conc (M),Electrolyte Salt,Electrolyte Solvent,Proton Donor,Proton Conc (vol%),Alpha,FE%,Rate (nmol/s-cm2),EE%,Current Density (mA/cm2),Passed Charge (C),Applied Voltage (V vs Li+/Li),N2 Pressure (atm/bar),Working Electrode,SSC GDE size (um),Electrode Area (cm2),Other comments
,,2022-9-21,S Li and Chorkendorff,Autoclave,2,LiClO4,THF,EtOH,1,,31,1070.9937578338,3.8,1000,240,,20,porous Cu,,1.5,
,,2022-9-21,S Li and Chorkendorff,Autoclave,2,LiPF6,THF,EtOH,1,,45,1554.66835814584,8.4,1000,240,,20,porous Cu,,1.5,
doi.org/10.1021/acsenergylett.1c02104,y,2021-11-24,K Li and Chorkendorff ,Autoclave,2,LiClO4,THF,EtOH,1,1,13.1,45.2581233149122,2.3,100,150,,20,porous Cu,,0.5,
,y,2021-11-24,K Li and Chorkendorff ,Autoclave,2,LiClO4,THF,EtOH,1,1,15.7,54.2406516064215,2.7,100,150,,20,porous Cu,,0.5,
,y,2021-11-24,K Li and Chorkendorff ,Autoclave,2,LiClO4,THF,EtOH,1,1,11.2,38.6939680249631,1.96,100,150,,20,porous Cu,,0.5,
,,2021-11-24,K Li and Chorkendorff ,Autoclave,2,LiClO4,THF,EtOH,1,,13.7,0.946620289182134,3.7,2,12.2,,20,Cu,,0.5,
,,2021-11-24,K Li and Chorkendorff ,Autoclave,2,LiClO4,THF,EtOH,1,,14.7,1.01571666065528,4.1,2,12,,20,Cu,,0.5,
,,2021-11-24,K Li and Chorkendorff ,Autoclave,2,LiClO4,THF,EtOH,1,,14.2,0.981168474918708,3.97,2,12,,20,Cu,,0.5,
,,2021-11-24,K Li and Chorkendorff ,Autoclave,2,LiClO4,THF,EtOH,1,,7,0.483674600312039,2,2,12,,20,Ni,,0.5,
,y,2021-11-24,K Li and Chorkendorff ,Autoclave,2,LiClO4,THF,EtOH,1,1,13.9,48.0219781738382,2.52,100,150,,20,porous Cu,,0.5,
,,2021-11-24,K Li and Chorkendorff ,Autoclave,2,LiClO4,THF,EtOH,1,,24.9,1.7204996496814,3.1,2,12.8,,20,Mo,,0.5,
https://doi.org/10.1126/science.abg2371,,2021-6-11,Suryanto and MacFarlane 1,Autoclave,0.2,LiBF4,THF,P(eFAP),60,,29,82.6565343747538,,82.5,1.98,-0.75,2,Cu,,0.012,
,,2021-6-11,Suryanto and MacFarlane 1,Autoclave,0.2,LiBF4,THF,P(eFAP),60,,15,93.9278799713112,,181.25,4.35,-0.75,2,Cu,,0.012,
,,2021-6-11,Suryanto and MacFarlane 1,Autoclave,0.2,LiBF4,THF,P(eFAP),60,,55,101.341344827284,,53.3333333333333,1.28,-0.75,5,Cu,,0.012,
,,2021-6-11,Suryanto and MacFarlane 1,Autoclave,0.2,LiBF4,THF,P(eFAP),60,,50,163.384128379216,,94.5833333333333,2.27,-0.75,5,Cu,,0.012,
,,2021-6-11,Suryanto and MacFarlane 1,Autoclave,0.2,LiBF4,THF,P(eFAP),60,,42,140.265634090491,,96.6666666666667,2.32,-0.75,5,Cu,,0.012,
,,2021-6-11,Suryanto and MacFarlane 1,Autoclave,0.2,LiBF4,THF,P(eFAP),60,,60,209.880228349688,,101.25,2.43,-0.75,5,Cu,,0.012,
,,2021-6-11,Suryanto and MacFarlane 1,Autoclave,0.2,LiBF4,THF,P(eFAP),60,,33.2,112.788310368003,,98.3333333333333,2.36,-0.75,5,Cu,,0.012,
,,2021-6-11,Suryanto and MacFarlane 1,Autoclave,0.2,LiBF4,THF,P(eFAP),60,,24,89.4798010577275,,107.916666666667,2.59,-0.75,5,Cu,,0.012,
,,2021-6-11,Suryanto and MacFarlane 1,Autoclave,0.2,LiBF4,THF,P(eFAP),60,,75,172.740928682871,,66.6666666666667,1.6,-0.75,10,Cu,,0.012,
,,2021-6-11,Suryanto and MacFarlane 1,Autoclave,0.2,LiBF4,THF,P(eFAP),60,,66,152.012017240927,,66.6666666666667,1.6,-0.75,10,Cu,,0.012,
,,2021-6-11,Suryanto and MacFarlane 1,Autoclave,0.2,LiBF4,THF,P(eFAP),60,,41,118.039634599962,,83.3333333333333,2,-0.75,5,Cu,,0.012,
,,2021-6-11,Suryanto and MacFarlane 1,Autoclave,0.2,LiBF4,THF,P(eFAP),60,,47,144.785688391027,,89.1666666666667,4.28,-0.75,5,Cu,,0.012,
,,2021-6-11,Suryanto and MacFarlane 1,Autoclave,0.2,LiBF4,THF,P(eFAP),6,,52,97.3107231580175,,54.1666666666667,1.3,-0.75,20,Cu,,0.012,
,,2021-6-11,Suryanto and MacFarlane 1,Autoclave,0.2,LiBF4,THF,P(eFAP),6,,34,58.242483120908,,49.5833333333333,1.19,-0.75,20,Cu,,0.012,
,,2021-6-11,Suryanto and MacFarlane 1,Autoclave,0.2,LiBF4,THF,P(eFAP),30,,77,155.178934266779,,58.3333333333333,1.4,-0.75,20,Cu,,0.012,
,,2021-6-11,Suryanto and MacFarlane 1,Autoclave,0.2,LiBF4,THF,P(eFAP),30,,59,195.341200185547,,95.8333333333333,2.3,-0.75,20,Cu,,0.012,
,,2021-6-11,Suryanto and MacFarlane 1,Autoclave,0.2,LiBF4,THF,P(eFAP),120,,35,159.713383644704,,132.083333333333,3.17,-0.75,20,Cu,,0.012,
,,2021-6-11,Suryanto and MacFarlane 1,Autoclave,0.2,LiBF4,THF,P(eFAP),60,,61,35.1239888321839,,16.6666666666667,0.4,-0.15,20,Cu,,0.012,
,,2021-6-11,Suryanto and MacFarlane 1,Autoclave,0.2,LiBF4,THF,P(eFAP),60,,43,53.8519845168851,,36.25,0.87,-0.15,20,Cu,,0.012,
,,2021-6-11,Suryanto and MacFarlane 1,Autoclave,0.2,LiBF4,THF,P(eFAP),60,,48,40.0758954544262,,24.1666666666667,0.58,-0.15,20,Cu,,0.012,
,,2021-6-11,Suryanto and MacFarlane 1,Autoclave,0.2,LiBF4,THF,P(eFAP),60,,60,89.8252829150929,,43.3333333333333,1.04,-0.3,20,Cu,,0.012,
,,2021-6-11,Suryanto and MacFarlane 1,Autoclave,0.2,LiBF4,THF,P(eFAP),60,,48,81.5337183383152,,49.1666666666667,1.18,-0.3,20,Cu,,0.012,
,,2021-6-11,Suryanto and MacFarlane 1,Autoclave,0.2,LiBF4,THF,P(eFAP),60,,68,145.850924117904,,62.0833333333333,1.49,-0.45,20,Cu,,0.012,
,,2021-6-11,Suryanto and MacFarlane 1,Autoclave,0.2,LiBF4,THF,P(eFAP),60,,78,159.43987717429,,59.1666666666667,1.42,-0.45,20,Cu,,0.012,
,y,2021-6-11,Suryanto and MacFarlane 1,Autoclave,0.2,LiBF4,THF,P(eFAP),60,0.57,76,138.941286970589,,52.9166666666667,1.27,-0.6,20,Cu,,0.012,
,y,2021-6-11,Suryanto and MacFarlane 1,Autoclave,0.2,LiBF4,THF,P(eFAP),60,0.57,59,101.917147922894,,50,1.2,-0.6,20,Cu,,0.012,
,y,2021-6-11,Suryanto and MacFarlane 1,Autoclave,0.2,LiBF4,THF,P(eFAP),60,0.571428571428571,72,136.810815516834,,55,1.32,-0.6,20,Cu,,0.012,
,y,2021-6-11,Suryanto and MacFarlane 1,Autoclave,0.2,LiBF4,THF,P(eFAP),60,0.71,80,226.866419670171,,82.0833333333333,1.97,-0.75,20,Cu,,0.012,
,y,2021-6-11,Suryanto and MacFarlane 1,Autoclave,0.2,LiBF4,THF,P(eFAP),60,0.71,65,158.129925131778,,70.4166666666667,1.69,-0.75,20,Cu,,0.012,
,y,2021-6-11,Suryanto and MacFarlane 1,Autoclave,0.2,LiBF4,THF,P(eFAP),60,0.71,85,308.342557698925,,105,2.52,-0.75,20,Cu,,0.012,
,y,2021-6-11,Suryanto and MacFarlane 1,Autoclave,0.2,LiBF4,THF,P(eFAP),60,0.71,72,240.455372726557,,96.6666666666667,2.32,-0.75,20,Cu,,0.012,
,y,2021-6-11,Suryanto and MacFarlane 1,Autoclave,0.2,LiBF4,THF,P(eFAP),60,0.71,59,264.984584599524,,130,3.12,-0.75,20,Cu,,0.012,
,y,2021-6-11,Suryanto and MacFarlane 1,Autoclave,0.2,LiBF4,THF,P(eFAP),60,0.71,73,270.066046918278,,107.083333333333,2.57,-0.75,20,Cu,,0.012,
,y,2021-6-11,Suryanto and MacFarlane 1,Autoclave,0.2,LiBF4,THF,P(eFAP),60,0.71,64,187.020845453988,,84.5833333333333,2.03,-0.75,20,Cu,,0.012,
,y,2021-6-11,Suryanto and MacFarlane 1,Autoclave,0.2,LiBF4,THF,P(eFAP),60,0.714285714285714,71,251.424421697919,,102.5,2.46,-0.75,20,Cu,,0.012,
,y,2021-6-11,Suryanto and MacFarlane 1,Autoclave,0.2,LiBF4,THF,P(eFAP),60,0.714285714285714,70,193.469840124816,,80,1.92,-0.75,20,Cu,,0.012,
,y,2021-6-11,Suryanto and MacFarlane 1,Autoclave,0.2,LiBF4,THF,P(eFAP),60,0.714285714285714,60,140.78385687654,,67.9166666666667,1.63,-0.75,20,Cu,,0.012,
,y,2021-6-11,Suryanto and MacFarlane 1,Autoclave,0.2,LiBF4,THF,P(eFAP),60,0.714285714285714,66,187.164796227891,,82.0833333333333,1.97,-0.75,20,Cu,,0.012,
,y,2021-6-11,Suryanto and MacFarlane 1,Autoclave,0.2,LiBF4,THF,P(eFAP),60,0.714285714285714,62,167.789022060629,,78.3333333333333,1.88,-0.75,20,Cu,,0.012,
,y,2021-6-11,Suryanto and MacFarlane 1,Autoclave,0.2,LiBF4,THF,P(eFAP),60,0.714285714285714,73,156.575256773632,,62.0833333333333,1.49,-0.75,20,Cu,,0.012,
,y,2021-6-11,Suryanto and MacFarlane 1,Autoclave,0.2,LiBF4,THF,P(eFAP),60,0.857142857142857,61,206.35343438908,,97.9166666666667,2.35,-0.9,20,Cu,,0.012,
,y,2021-6-11,Suryanto and MacFarlane 1,Autoclave,0.2,LiBF4,THF,P(eFAP),60,0.857142857142857,69,215.537493764053,,90.4166666666667,2.17,-0.9,20,Cu,,0.012,
,y,2021-6-11,Suryanto and MacFarlane 1,Autoclave,0.2,LiBF4,THF,P(eFAP),60,1,64,256.117216927136,,115.833333333333,2.78,-1.05,20,Cu,,0.012,
,y,2021-6-11,Suryanto and MacFarlane 1,Autoclave,0.2,LiBF4,THF,P(eFAP),60,1,52,189.381638145988,,105.416666666667,2.53,-1.05,20,Cu,,0.012,
,y,2021-6-11,Suryanto and MacFarlane 1,Autoclave,0.2,LiBF4,THF,P(eFAP),60,0.71,73,231.184942887243,,91.6666666666667,2.2,-0.75,20,Cu,,0.012,
,y,2021-6-11,Suryanto and MacFarlane 1,Autoclave,0.2,LiBF4,THF,P(eFAP),60,0.71,78,213.335046923346,,79.1666666666667,1.9,-0.75,20,Cu,,0.012,
,y,2021-6-11,Suryanto and MacFarlane 1,Autoclave,0.2,LiBF4,THF,P(eFAP),60,0.71,53,236.511121521632,,129.166666666667,3.1,-0.75,20,Cu,,0.012,
,y,2021-6-11,Suryanto and MacFarlane 1,Autoclave,0.2,LiBF4,THF,P(eFAP),60,0.71,62,151.724115693122,,70.8333333333333,1.7,-0.75,20,Cu,,0.012,
,y,2021-6-11,Suryanto and MacFarlane 1,Autoclave,0.2,LiBF4,THF,P(eFAP),60,0.71,69,178.786861186772,,75,1.8,-0.75,20,Cu,,0.012,
,y,2021-6-11,Suryanto and MacFarlane 1,Autoclave,0.2,LiBF4,THF,P(eFAP),60,0.71,65,159.065605162144,,70.8333333333333,1.7,-0.75,20,Cu,,0.012,
,,2021-6-11,Suryanto and MacFarlane 1,Autoclave,0.2,LiBF4,THF,P(eFAP),60,,77.6,60.3,,22.5,3.9,,20,Cu,,0.012,
,,2021-6-11,Suryanto and MacFarlane 1,Autoclave,0.2,LiBF4,THF,P(eFAP),60,,68,52.8587241769586,,22.5,3.9,,20,Cu,,0.012,
,,2021-6-11,Suryanto and MacFarlane 1,Autoclave,0.2,LiBF4,THF,P(eFAP),60,,69,53.6360583560315,,22.5,7.8,,20,Cu,,0.012,
,,2021-6-11,Suryanto and MacFarlane 1,Autoclave,0.2,LiBF4,THF,P(eFAP),60,,72,55.9680608932503,,22.5,7.8,,20,Cu,,0.012,
,,2021-6-11,Suryanto and MacFarlane 1,Autoclave,0.2,LiBF4,THF,P(eFAP),60,,70,54.4133925351044,,22.5,19.4,,20,Cu,,0.012,
,,2021-6-11,Suryanto and MacFarlane 1,Autoclave,0.2,LiBF4,THF,P(eFAP),60,,68,52.8587241769586,,22.5,19.4,,20,Cu,,0.012,
,,2021-6-11,Suryanto and MacFarlane 1,Autoclave,0.2,LiBF4,THF,P(eFAP),60,,68,52.8587241769586,,22.5,19.4,,20,Cu,,0.012,
,,2021-6-11,Suryanto and MacFarlane 1,Autoclave,0.2,LiBF4,THF,P(eFAP),60,,92,71.5147444747087,,22.5,19.4,,20,Cu,,0.012,
,,2021-6-11,Suryanto and MacFarlane 1,Autoclave,0.2,LiBF4,THF,P(eFAP),60,,82,63.7414026839795,,22.5,19.4,,20,Cu,,0.012,
doi.org/10.1038/s41586-022-05108-y,,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,1,,44,218.897304826934,,144.00,639.36,-0.55,15,Cu wire,,0.74,
,,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,1,,44,246.259467930301,,162.00,602.64,-0.55,15,Cu,,0.62,
,,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,1,,57,269.392933099511,,136.8,147.744,-0.55,15,Nb foil,,0.18,
,,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,1,,59,278.845316717038,,136.8,147.744,-0.55,15,Nb foil,,0.18,
,,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,1,,48,226.857206820641,,136.8,147.744,-0.55,15,Nb foil,,0.18,
,,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,1,,60,174.122856112334,,84,75.6,-0.55,15,Ni wire,,0.15,
,,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,1,,85,246.67404615914,,84,75.6,-0.55,15,Ni wire,,0.15,
,,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,1,,90,261.184284168501,,84,75.6,-0.55,15,Ni wire,,0.15,
,,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,1,,56,162.514665704845,,84,75.6,-0.55,15,Ni wire,,0.15,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.251643192488263,81,833.302239966171,,297.777777777778,268,-0.55,15,Ni wire,,0.15,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.256338028169014,90,943.165470608475,,303.333333333333,273,-0.55,15,Ni wire,,0.15,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.291079812206573,68,809.195283696649,,344.444444444444,310,-0.55,15,Ni wire,,0.15,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.215023474178404,84,738.409889809712,,254.444444444444,229,-0.55,15,Ni wire,,0.15,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.230046948356808,84,790.00184717633,,272.222222222222,245,-0.55,15,Ni wire,,0.15,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.192488262910798,99,779.06158835975,,227.777777777778,205,-0.55,15,Ni wire,,0.15,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.236619718309859,90,870.614280561671,,280,252,-0.55,15,Ni wire,,0.15,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.251643192488263,83,853.877603915953,,297.777777777778,268,-0.55,15,Ni wire,,0.15,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.195305164319249,90,718.602263320744,,231.111111111111,208,-0.55,15,Ni wire,,0.15,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.242253521126761,85,841.824125781193,,286.666666666667,258,-0.55,15,Ni wire,,0.15,
,,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.075,65,970.113055483004,,432.000,80.352,-0.55,15,Ni disc,,0.031,
,,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.075,61,910.413790530204,,432.000,80.352,-0.55,15,Ni disc,,0.031,
,,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.075,62,925.338606768404,,432.000,80.352,-0.55,15,Ni disc,,0.031,
,,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.110798122065728,16,10.8711624451087,,19.6666666666667,118,-0.55,1,Ni wire,,0.15,
,,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.189671361502347,67,77.9291909597993,,33.6666666666667,202,-0.55,5,Ni wire,,0.15,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.266666666666667,76,124.28134015637,,47.3333333333333,284,-0.55,10,Ni wire,,0.15,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.27981220657277,74,126.976098643823,,49.6666666666667,298,-0.55,10,Ni wire,,0.15,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.244131455399061,79,118.269955838206,,43.3333333333333,260,-0.55,10,Ni wire,,0.15,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.225352112676056,96,132.665033228445,,40,240,-0.55,20,Ni wire,,0.15,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.212206572769953,80,104.10519968621,,37.6666666666667,226,-0.55,20,Ni wire,,0.15,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.170892018779343,98,102.700240132923,,30.3333333333333,182,-0.55,20,Ni wire,,0.15,
,,2022-7-22,Du and MacFarlane 1,Autoclave,1,LiNTf2,THF,P(eFAP),0.584,0.176525821596244,77,1667.06512240883,,626.666666666667,188,-0.55,15,Ni wire (isolated),,0.05,
,,2022-7-22,Du and MacFarlane 1,Autoclave,1,LiNTf2,THF,P(eFAP),0.584,0.150234741784038,76,1400.35312852247,,533.333333333333,160,-0.55,15,Ni wire (isolated),,0.05,
,,2022-7-22,Du and MacFarlane 1,Autoclave,1,LiNTf2,THF,P(eFAP),0.584,0.166197183098592,79,1610.29093718172,,590,177,-0.55,15,Ni wire (isolated),,0.05,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.483568075117371,100,1482.69297119465,,429.166666666667,515,-0.55,15,Ni wire (isolated),,1.2,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.535211267605634,91,1493.34532846342,,475,570,-0.55,15,Ni wire (isolated),,1.2,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.535211267605634,91,1493.34532846342,,475,570,-0.55,15,Ni wire (isolated),,1.2,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.502347417840376,91,1401.6486854876,,445.833333333333,535,-0.55,15,Ni wire (isolated),,1.2,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,1,90,689.884083927217,,221.875,1065,-0.55,15,Ni wire (isolated),,1.2,
,y,2022-7-22,Du and MacFarlane 1,Autoclave,2,LiNTf2,THF,EtOH,0.584,0.906103286384977,90,2778.24993631618,,893.518518518519,965,-0.55,15,Ni wire (isolated),,1.2,
,,2022-7-22,Du and MacFarlane 1,Autoclave,0.1,LiNTf2,THF,EtOH,0.584,0.0,12.9,0.742785993336347,,1.66666666666667,1.5,-0.55,15,Ni wire,,0.15,
